district,gini index
Vidisha,0.26
Jhabua,0.24
Seoni,0.27
Bhind,0.19
Morena,0.26
Sagar,0.26
Anuppur,0.37
Damoh,0.23
Chhindwara,0.44
Singrauli,0.30
Jabalpur,0.40
Shahdol,0.28
West Nimar,0.24
Burhanpur,0.23
Sheopur,0.28
Katni,0.35
East Nimar,0.23
Balaghat,0.27
Barwani,0.24
Dindori,0.22
Rewa,0.26
Mandla,0.23
Umaria,0.25
Sidhi,0.24
Betul,0.33
Satna,0.26
Panna,0.24
Madhya Pradesh,0.35
Mumbai Suburban,0.39
Sindhudurg,0.21
Satara,0.31
Pune,0.37
Sangli,0.24
Wardha,0.24
Kolhapur,0.21
Osmanabad,0.25
Jalna,0.18
Nagpur,0.34
Thane,0.37
Raigarh,0.35
Solapur,0.28
Nashik,0.30
Ratnagiri,0.25
Latur,0.24
Ahmadnagar,0.24
Aurangabad,0.28
Yavatmal,0.25
Bid,0.24
Dhule,0.24
Gadchiroli,0.24
Jalgaon,0.26
Gondia,0.40
Bhandara,0.24
Hingoli,0.27
Amravati,0.29
Nandurbar,0.25
Nanded,0.30
Akola,0.25
Washim,0.23
Chandrapur,0.30
Buldana,0.25
Parbhani,0.25
Mumbai,
Maharashtra,0.37
Tamenglong,0.15
Imphal East,0.18
Churachandpur,0.25
Ukhrul,0.16
Imphal West,0.21
Chandel,0.24
Bishnupur,0.14
Thoubal,0.23
Senapati,0.12
Manipur,0.21
South Garo Hills,0.18
East Garo Hills,0.17
East Khasi Hills,0.25
West Garo Hills,0.20
Jaintia Hills,0.18
Ri Bhoi,0.19
West Khasi Hills,0.19
Meghalaya,0.22
Aizawl,0.26
Champhai,0.23
Kolasib,0.25
Lunglei,0.24
Lawngtlai,0.25
Mamit,0.26
Serchhip,0.25
Saiha,0.25
Mizoram,0.27
Mon,0.19
Longleng,0.22
Kohima,0.21
Tuensang,0.20
Peren,0.20
Kiphire,0.19
Phek,0.21
Dimapur,0.24
Mokokchung,0.18
Zunheboto,0.20
Wokha,0.23
Nagaland,0.22
North,0.34
East,0.34
New Delhi,0.34
West,0.34
South West,0.34
South,0.34
North West,0.36
North East,0.22
Central,
Delhi,0.34
Dhenkanal,0.24
Cuttack,0.29
Kendrapara,0.21
Angul,0.26
Puri,0.22
Khordha,0.40
Jajpur,0.24
Jagatsinghpur,0.24
Bhadrak,0.19
Jharsuguda,0.34
Sambalpur,0.31
Ganjam,0.27
Bargarh,0.24
Baleshwar,0.27
Nayagarh,0.26
Balangir,0.22
Debagarh,0.29
Kendujhar,0.30
Gajapati,0.29
Rayagada,0.24
Subarnapur,0.23
Kandhamal,0.26
Sundargarh,0.37
Nuapada,0.17
Kalahandi,0.24
Baudh,0.19
Mayurbhanj,0.25
Koraput,0.33
Nabarangapur,0.28
Malkangiri,0.21
Odisha,0.30
Puducherry,0.32
Yanam,0.32
Mahe,0.32
Karaikal,0.31
Pondicherry,0.32
Fatehgarh Sahib,0.32
Rupnagar,0.31
Patiala,0.32
Sahibzada Ajit Singh,0.36
Nagar Mohali Mansa,0.26
Kapurthala,0.33
Nawanshahr,0.29
Hoshiarpur,0.26
Gurdaspur,0.26
Jalandhar,0.33
Moga,0.27
Tarn Taran,0.31
Faridkot,0.31
Barnala,0.31
Firozpur,0.30
Sangrur,0.35
Ludhiana,0.29
Bathinda,0.32
Muktsar,0.26
Amritsar,0.30
Punjab,0.31
Jhunjhunu,0.23
Jaipur,0.32
Pali,0.20
Sikar,0.26
Hanumangarh,0.24
Churu,0.21
Jodhpur,0.37
Dausa,0.22
Tonk,0.29
Ganganagar,0.25
Bikaner,0.29
Barmer,0.25
Alwar,0.39
Jalor,0.25
Kota,0.28
Nagaur,0.22
Ajmer,0.31
Bhilwara,0.24
Rajsamand,0.24
Jaisalmer,0.20
Chittaurgarh,0.30
Sawai Madhopur,0.21
Udaipur,0.28
Bundi,0.24
Jhalawar,0.20
Karauli,0.23
Baran,0.20
Banswara,0.27
Dhaulpur,0.25
Sirohi,0.29
Bharatpur,0.25
Dungarpur,0.24
Pratapgarh,
Rajasthan,0.29
East District,0.28
 West District,0.19
 South District,0.24
North District,0.24
Sikkim,0.26
Thiruvallur,0.30
Chennai,0.34
Thanjavur,0.28
Thiruvarur,0.23
Namakkal,0.32
Nagapattinam,0.26
Kanyakumari,0.36
Tiruchirappalli,0.29
Kancheepuram,0.31
 Coimbatore,0.34
Pudukkottai,0.27
Perambalur,0.27
Ariyalur,0.24
Erode,0.31
Karur,0.30
Dindigul,0.28
Madurai,0.28
Theni,0.24
Tirunelveli,0.28
Vellore,0.28
Ramanathapuram,0.25
Thoothukudi,0.20
Salem,0.26
Tiruvannamalai,0.29
Dharmapuri,0.32
Sivaganga,0.27
Virudhunagar,0.27
The Nilgiris,0.30
Krishnagiri,0.39
Cuddalore,0.27
Viluppuram,0.27
Tiruppur,
Tamil Nadu,0.33
Medak,0.23
Rangareddy,0.31
Mahbubnagar,0.25
Karimnagar,0.20
Adilabad,0.37
Nizamabad,0.27
Warangal,0.23
Khammam,0.23
Hyderabad,0.26
Nalgonda,0.32
Telangana,0.17
Dhalai,0.17
North Tripura,0.24
South Tripura,0.24
West Tripura,0.27
Tripura,0.25
Ghaziabad,0.40
Gautam Buddha,0.47
Nagar Muzaffarnagar,0.27
Meerut,0.46
Auraiya,0.19
Pilibhit,0.25
Saharanpur,0.26
Hathras,0.25
Aligarh,0.28
Bulandshahr,0.26
Mathura,0.23
Kanpur Dehat,0.20
Jhansi,0.34
Baghpat,0.28
Deoria,0.31
Shrawasti,0.15
Jyotiba Phule Nagar,0.24
Sultanpur,0.31
Varanasi,0.32
Etawah,0.21
Lalitpur,0.23
Kanpur Nagar,0.33
Bareilly,0.27
Ghazipur,0.24
Kushinagar,0.24
Gorakhpur,0.32
Lucknow,0.42
Kheri,0.24
Bijnor,0.25
Siddharthnagar,0.27
Farrukhabad,0.24
Agra,0.26
Moradabad,0.27
Sant Kabir Nagar,0.25
Chandauli,0.30
Allahabad,0.37
Budaun,0.22
Shahjahanpur,0.21
Bahraich,0.24
Kanshiram Nagar,0.29
Firozabad,0.24
Mahoba,0.26
Ballia,0.27
Mirzapur,0.28
Hardoi,0.21
Jaunpur,0.23
Unnao,0.27
Ambedkar Nagar,0.22
Etah,0.30
Rampur,0.21
Jalaun,0.28
Balrampur,0.20
Gonda,0.24
Maharajganj,0.26
Barabanki,0.19
Chitrakoot,0.17
Sitapur,0.26
Azamgarh,0.27
Fatehpur,0.19
Basti,0.31
Faizabad,0.39
Sonbhadra,0.27
Mainpuri,0.25
Rae Bareli,0.22
Pratapgarh,0.23
Hamirpur,0.24
Mau,0.28
Banda,0.22
Kaushambi,0.27
Sant Ravidas Nagar,0.24
Bhadohi Kannauj,0.25
Uttar Pradesh,0.31
Chamoli,0.20
Rudraprayag,0.19
Tehri Garhwal,0.20
Pithoragarh,0.25
Bageshwar,0.26
Uttarkashi,0.21
Dehradun,0.28
Haridwar,0.48
Garhwal,0.26
Almora,0.27
Champawat,0.29
Udham Singh Nagar,0.30
Nainital,0.33
Uttarakhand,0.35
Kolkata,0.40
Jalpaiguri,0.22
Darjeeling,0.28
North Twenty Four,0.38
Parganas Haora,0.31
Purba Medinipur,0.32
Maldah,0.26
South Twenty Four,0.29
Parganas Koch Bihar,0.20
Paschim Medinipur,0.28
Birbhum,0.24
Murshidabad,0.22
Bankura,0.25
Barddhaman,0.31
Dakshin Dinajpur,0.24
Hugli,0.28
Nadia,0.25
Uttar Dinajpur,0.28
Puruliya,0.23
West Bengal,0.33
